,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes,Label,Score
0,0.0258487079999999,62,0,0.081774844,8180.0,3,0,2,0,0.0,0,0.8947
1,0.6670832289999999,55,0,0.153112222,2200.0,3,0,0,0,0.0,0,0.5847
2,0.0070925269999999,44,0,0.1488,7499.0,20,0,1,0,0.0,0,0.8179
3,0.091212944,54,0,0.351635316,5900.0,15,0,1,1,0.0,1,0.6131
4,0.1126797019999999,54,0,0.06595941,2167.0,3,0,0,0,0.0,0,0.8103
5,0.323985404,42,0,0.3521505379999999,10415.0,8,0,2,0,2.0,0,0.7657
6,0.007299854,63,0,0.002288853,4368.0,2,0,0,0,0.0,0,0.8815
7,0.0,76,1,0.261610817,1700.0,4,0,0,0,0.0,0,0.6197
8,0.062279783,55,0,0.406667092,15658.0,14,1,3,0,0.0,1,0.6762
9,0.479899327,41,1,0.209902867,8441.0,6,0,3,0,0.0,0,0.5307
10,0.040262851,49,0,11.41791045,200.0,7,0,2,0,0.0,0,0.8214
11,0.843405402,56,1,0.592719888,6400.0,5,0,2,0,1.0,1,0.7372
12,0.012197533,77,0,859.0,,17,0,1,0,0.0,0,0.7836
13,0.001346024,66,0,0.0,2150.0,2,0,0,0,1.0,0,0.8978
14,0.964023984,41,0,0.059348837,10749.0,9,1,0,0,0.0,1,0.8458
15,0.594159456,64,1,1.648362507,7083.0,19,0,5,0,0.0,1,0.743
16,0.193098651,69,0,0.402775101,5188.0,7,0,2,0,0.0,0,0.834
17,0.142581923,79,0,0.082849252,10500.0,22,0,0,0,0.0,0,0.835
18,0.8155511120000001,49,1,4081.0,,5,3,2,1,,1,0.8781
19,0.021974732,73,0,0.278103492,3922.0,8,0,1,0,0.0,0,0.9074
20,0.069206769,51,0,2610.0,,8,0,3,0,0.0,0,0.7774
21,0.679730033,42,0,1546.0,,13,0,0,0,0.0,1,0.5175
22,0.03195895,65,0,0.00939812,5000.0,5,0,0,0,2.0,0,0.9029
23,0.1153601019999999,75,0,1477.0,0.0,6,0,1,0,0.0,0,0.8298
24,0.9999999,41,0,1365.0,,2,5,1,0,0.0,1,0.8512
25,0.463463272,53,0,0.407847082,9939.0,12,0,1,0,0.0,0,0.6785
26,0.385941521,59,0,0.238935821,7930.0,5,0,1,0,2.0,0,0.8236
27,0.210206778,55,0,0.302714363,5562.0,11,0,1,0,0.0,0,0.7952
28,0.025593285,45,0,0.335381522,8950.0,10,0,1,0,2.0,0,0.819
29,0.031275265,52,0,0.385416667,2975.0,9,0,1,0,0.0,0,0.8057
30,0.021943625,76,0,0.043182727,2500.0,15,0,1,0,0.0,0,0.8748
31,0.017425167,56,0,0.8931593790000001,2835.0,11,0,2,0,0.0,0,0.776
32,0.001496395,43,4,0.492458005,5833.0,8,1,1,3,0.0,1,0.9046
33,0.525306395,36,0,0.127467105,4863.0,6,0,0,0,3.0,0,0.5747
34,0.186146156,31,0,0.532410244,8160.0,7,0,2,0,0.0,0,0.7641
35,0.196758683,74,0,2835.0,,8,0,3,0,0.0,0,0.7416
36,0.022846024,67,0,0.075768614,6862.0,7,0,1,0,0.0,0,0.9096
37,0.457100576,63,0,4945.0,,9,0,1,0,0.0,0,0.6823
38,0.0,62,0,1565.0,,4,0,1,0,0.0,0,0.8168
39,0.107923781,46,0,0.3430412029999999,7450.0,14,0,2,0,1.0,0,0.7647
40,0.188842147,57,0,1243.0,,6,0,1,0,0.0,0,0.7682
41,0.071393361,72,0,1221.0,,8,0,1,0,0.0,0,0.8298
42,0.009057006,69,0,6.0,,4,0,0,0,0.0,0,0.838
43,0.1900816619999999,67,0,0.075886843,4453.0,8,0,0,0,0.0,0,0.8711
44,0.713313484,50,0,2104.0,,4,0,1,0,0.0,0,0.564
45,0.026774331,49,0,0.128515425,5866.0,3,0,1,0,0.0,0,0.8501
46,0.188517566,62,3,0.817720351,6500.0,16,0,3,2,0.0,1,0.7826
47,0.9999999,34,1,0.091191174,5800.0,4,0,0,0,4.0,1,0.7575
48,0.0,59,1,0.223186265,5416.0,6,0,1,0,1.0,0,0.6053
49,0.165751474,46,0,0.109831235,3732.0,4,0,0,0,0.0,0,0.7803
50,0.016674508,55,0,1.403544649,4400.0,19,0,2,0,0.0,0,0.7288
51,0.44596953,54,0,1634.0,,11,0,1,0,0.0,0,0.628
52,0.026803597,73,0,56.0,,11,0,0,0,0.0,0,0.8103
